,Client 1,,Client 2,,Client 3,
Time,RT,STD,RT,STD,RT,STD
1740,14891,14589.93,15362,7924.86,14896,7684.02
1745,15334,7382.25,15783,8131.72,14755,6867.13
1750,15691,10677.36,15780,10373.61,15784,10855.35
1755,15296,7926.76,17611,15998.48,17044,15725.99
1760,18056,19315.45,17447,14231.92,16828,13956.13
1765,16018,9265.84,16898,9361.1,16019,8466.01
1770,15976,9498.74,15209,7633.23,15127,8058.16
1775,15633,11340.04,16797,10869.79,15999,11038.45
1780,15673,7260.27,16405,7861.63,15802,7772.38
1785,16011,7714.65,17015,13637.02,16451,13401.93
1790,17044,16317.34,17520,13048.28,17164,12435.45
1795,17136,11857.75,16482,10591.13,16407,10867.6
1800,15401,7333.39,16389,8602.16,15580,8242.66
1805,16277,9061.94,17974,10578.27,17297,9797.53
1810,16661,10920.06,15470,9401.86,15602,9351.59
1815,14926,7719.27,15746,8442.16,15129,8584.57
1820,14678,8659.87,15861,8386.23,15578,8268.16
1825,15621,8412.34,15495,7756.98,15185,7662.02
1830,15741,8088.34,18778,34150.47,16662,14895.67
1835,17865,34037.39,17099,12028.34,17561,31262.32
1840,17197,12095.68,16596,10462.25,16635,11148.66
1845,16140,7808.58,16826,9482.56,16690,8822.79
1850,15817,9478.47,15355,9226.68,14825,8760.75
1855,15260,9463.84,15902,9921.61,15223,8791.8
1860,16178,22524.44,19081,32855.68,17278,25243.35
1865,18150,24188.41,17729,10006.18,18429,21569.18
1870,16448,9663.69,16906,11119.4,16143,11050.67
1875,18487,35748.68,18773,35590.51,18173,34903.12
1880,16325,11071.68,17504,13951.32,16669,13833.44
1885,16868,13283.35,17694,9580.31,16644,8852.04
1890,16463,8184.36,16654,13478.05,15854,8265.45
1895,16758,13916.61,17423,9555.12,17410,14452.99
1900,17527,11940.77,18412,16836.29,17936,16542.95
1905,17307,14419.31,16786,8338.1,16138,8025.81
1910,16907,11285.07,17688,11201.76,17333,11077.07
1915,16247,8993.77,17176,10062.86,16384,9528.34
1920,16935,10015.93,16876,9750.57,16324,8942.49
1925,17550,20233.4,17628,20072.33,17514,20182.11
1930,15899,9331.29,17308,10094.28,16563,10103.15
1935,17828,22144.29,17641,22049.61,17129,21984.74
1940,15808,9284.3,16157,9608.47,15733,9070.08
1945,15610,8394.04,16416,9881.03,16150,10221.06
1950,16102,10098.87,16201,7980.88,15327,7720.31
1955,15568,8645.59,16187,8452.06,16167,8165.59
1960,16607,8822.47,16756,11011.85,16303,10688.78
1965,15332,10057.96,16298,9322.04,15219,9232.98
1970,14651,8806.7,15220,8622.76,15041,8348.12
1975,15799,9453.83,18439,33668.21,17684,32014.87
1980,17907,33371.44,17217,14445.87,15905,10028.02
1985,16271,13859.8,15130,8109.52,15535,13101.16
1990,15316,8765.08,16554,15628.26,16230,15564.64
1995,15178,14708.93,14831,7708.9,14155,7416.27
2000,14418,7860.67,16139,13415.31,15762,12965.72
2005,16435,16684.76,16510,18464,15646,12521.88
2010,15219,15144.46,14519,8157.88,15168,15061.26
2015,15008,9871.02,17038,13444.76,15955,12834.8
2020,15628,11682.82,15937,9753.07,15802,9601.77
2025,15283,9360.81,14622,7209.36,14071,7548.77
2030,14074,9316.38,15042,10234.07,14972,10298.64
2035,15276,8312.02,17377,11246.63,15909,9646.02
2040,16755,12057.97,15654,11664.31,15538,12692.58
2045,14572,10702.97,14726,7993.65,14737,7999.72
2050,15146,8377.2,16069,9500.95,15466,9116.23
2055,15205,9042.07,15087,7721.8,14768,7818.22
2060,14381,8366.54,15923,10235.76,14959,9929.38
2065,14969,9559.85,15157,8313.78,14701,8089.41
2070,15266,14228.02,16198,14854.26,15533,14510.15
2075,14936,8197.17,15665,9412.04,15706,9187.47
2080,15581,10529.39,15138,9735.92,14762,9649.98
2085,14983,9210.63,16487,9909.6,15453,9265.25
2090,15172,8845.51,15477,9246.22,15471,8967.74
2095,15009,9120.02,15336,8004.17,14748,8038.67
2100,14683,9005.14,16236,9690.16,15507,9116.97
2105,15966,10194.85,15606,11246.76,15403,10545.22
2110,15667,10414.53,14926,8059.47,14944,9201.1
2115,13858,7906.62,15841,8804.33,14916,8625.78
2120,15613,9183.18,15386,8874.18,15736,8740.49
2125,14752,8831.59,15664,9166.02,14256,8918.46
2130,15215,8950.96,15610,9974.45,15360,9875.99
2135,15582,12906.99,15277,12319.92,15113,11838.63
2140,14576,8711.77,15779,10657.83,15155,8922.95
2145,13857,10139.06,13592,8451.31,13469,9904.88
2150,14177,8736.13,14282,7678.23,14297,7647.24
2155,13520,12327.24,16385,24807.91,15342,23647.33
2160,16603,22068.65,14961,7781.5,14800,8441.97
